job_title,category,description,required_skills,recommended_courses,avg_salary_mad,demand_level
Développeur Full Stack,Informatique,Développer des applications web complètes avec frontend et backend. Maîtrise des frameworks modernes et bases de données.,"JavaScript,React,Node.js,MongoDB,SQL","Codecademy Full-Stack JS,Udemy React Course,OpenClassrooms Node.js",8000-15000,High
Développeur Mobile Flutter,Informatique,Créer des applications mobiles cross-platform avec Flutter et Dart. Expérience avec Firebase et APIs REST.,"Flutter,Dart,Firebase,REST API,Git","Udemy Flutter Complete Course,Google Flutter Bootcamp",7000-13000,High
Ingénieur DevOps,Informatique,Gérer l'infrastructure cloud et les pipelines CI/CD. Automatisation des déploiements et monitoring.,"Docker,Kubernetes,AWS,Jenkins,Linux,Python","AWS Certified Solutions Architect,Udemy DevOps Bootcamp",10000-18000,High
Data Scientist,Informatique,Analyser des données complexes et créer des modèles de machine learning. Visualisation et insights business.,"Python,Machine Learning,SQL,Pandas,TensorFlow,Statistics","Coursera Machine Learning,DataCamp Python,Kaggle Courses",9000-16000,High
Développeur Backend Python,Informatique,Développer des APIs et services backend avec Python. Intégration de bases de données et microservices.,"Python,FastAPI,Django,PostgreSQL,Redis,Docker","Real Python Course,FastAPI Official Docs,Udemy Django",7500-14000,High
Designer UX/UI,Design,Concevoir des interfaces utilisateur intuitives et créer des expériences utilisateur exceptionnelles.,"Figma,Adobe XD,Sketch,User Research,Prototyping","Interaction Design Foundation,Coursera UX Design,Udemy Figma",6000-12000,Medium
Ingénieur Réseau,Informatique,Administrer et sécuriser les infrastructures réseau. Configuration de routeurs et firewalls.,"Cisco,Network Security,TCP/IP,VLAN,VPN,Firewall","Cisco CCNA,CompTIA Network+",8000-15000,Medium
Chef de Projet Digital,Management,Gérer des projets digitaux de A à Z. Coordination d'équipes techniques et communication client.,"Agile,Scrum,JIRA,Communication,Leadership","PMI Agile Certified,Scrum Master Certification",9000-17000,High
Comptable,Finance,Gérer la comptabilité générale et analytique. Déclarations fiscales et reporting financier.,"Comptabilité,Excel,Sage,Fiscalité,Audit","Formation Expert Comptable,Excel Avancé",5000-9000,Medium
Responsable Ressources Humaines,RH,Gérer le recrutement et la gestion des talents. Développement des compétences et culture d'entreprise.,"Recrutement,Gestion Talents,Droit Social,Communication","CIPD Certification,LinkedIn Recruiter",7000-13000,Medium
Marketing Digital Manager,Marketing,Élaborer et exécuter des stratégies marketing digitales. SEO/SEM et gestion de campagnes publicitaires.,"SEO,Google Ads,Social Media,Analytics,Content Marketing","Google Analytics Certification,HubSpot Marketing",7000-14000,High
Infirmier,Santé,Prodiguer des soins infirmiers aux patients. Surveillance et administration de traitements médicaux.,"Soins Infirmiers,Urgences,Hygiène,Communication Patient","Formation Continue Infirmiers,Croix Rouge",4500-7000,High
Community Manager,Marketing,Gérer les réseaux sociaux et créer du contenu engageant. Interaction avec la communauté en ligne.,"Social Media,Content Creation,Copywriting,Photoshop,Analytics","HubSpot Social Media,Hootsuite Academy",4000-8000,Medium
Développeur WordPress,Informatique,Créer et personnaliser des sites WordPress. Développement de thèmes et plugins sur mesure.,"WordPress,PHP,HTML,CSS,JavaScript,MySQL","Udemy WordPress Development,WPBeginner Tutorials",5000-10000,Medium
Ingénieur Mécanique,Ingénierie,Concevoir et optimiser des systèmes mécaniques. CAO/DAO et gestion de projets industriels.,"CAO,SolidWorks,AutoCAD,Mécanique,Gestion Projet","SolidWorks Certification,AutoCAD Professional",7000-13000,Medium
Chauffeur Livreur,Logistique,Assurer la livraison de marchandises dans les délais. Conduite et gestion des itinéraires.,"Permis B,Navigation,Service Client,Ponctualité","Formation Conduite Défensive,Service Client",3500-5500,Medium
Architecte,Architecture,Concevoir des plans architecturaux et superviser les chantiers. Respect des normes et créativité.,"AutoCAD,Revit,Architecture,Gestion Chantier,3D","Revit Architecture,SketchUp Pro",8000-15000,Medium
Électricien Industriel,Technique,Installer et maintenir les équipements électriques industriels. Dépannage et mise en conformité.,"Électricité,Automatisme,Schémas Électriques,Sécurité","OFPPT Électricité,Schneider Electric Training",4500-8000,Medium
